symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
JUBLFOOD,507.3,10.02,17,21,3.31,0.0231,0.703,0.012,1.03,0.22,85.27,98.5,0.5,512.6,497.22,527.98,589.49,495.65,3.31,True,4.53,0.01381,2026-08-20 14:15:00,1,max_bar_share 0.5 vs cut 0.5
NEULANDLAB,23573.0,10.19,45,26,3.5,0.0208,0.736,0.081,1.14,0.46,83.27,100.0,0.17,23845.0,23129.65,24560.35,27421.75,23011.0,3.5,True,4.29,0.00904,2026-08-20 15:15:00,0,
TI,582.45,20.31,44,21,3.9,0.0193,0.635,0.104,1.28,0.35,40.74,100.0,0.24,590.0,572.3,607.7,678.5,567.0,3.9,True,3.85,0.00944,2026-08-20 15:15:00,0,
PAYTM,1603.6,15.92,43,30,4.93,0.0329,0.605,0.014,1.41,0.56,405.39,98.2,0.27,1626.5,1577.7,1675.3,1870.47,1546.3,4.93,True,3.04,0.00999,2026-08-20 14:15:00,1,
DEVYANI,147.8,17.27,43,29,5.11,0.033,0.879,-0.186,0.13,0.29,48.18,100.0,0.32,147.99,143.55,152.43,170.19,140.43,5.11,True,2.94,0.02416,2026-08-20 15:15:00,0,
QPOWER,1331.4,14.97,45,16,5.51,0.0174,0.467,-0.306,1.81,0.84,8.04,99.9,0.42,1356.0,1315.32,1396.68,1559.4,1281.3,5.51,True,2.72,0.00144,2026-08-20 15:15:00,0,
BLS,273.0,10.45,40,30,5.91,0.0248,0.599,0.083,3.25,0.45,22.67,100.0,0.25,282.17,273.7,290.64,324.5,265.5,5.91,True,2.54,0.00866,2026-08-20 15:15:00,0,
KSHINTL,1015.0,18.28,42,29,5.99,0.0276,0.656,0.106,3.17,0.16,13.61,98.9,0.35,1048.25,1016.8,1079.7,1205.49,985.5,5.99,True,2.5,0.01743,2026-08-20 15:15:00,0,
LASERPOWER,328.4,19.84,28,14,6.39,0.0286,0.473,0.072,3.96,0.46,41.92,100.0,0.31,341.95,331.69,352.21,393.24,320.1,6.39,True,2.35,0.00832,2026-08-20 15:15:00,0,
ASIANENE,483.95,28.5,21,12,6.45,0.0235,0.542,-0.186,1.22,0.49,11.02,100.0,0.19,489.95,475.25,504.65,563.44,458.35,6.45,True,2.33,0.00829,2026-08-20 15:15:00,0,
SAPPHIRE,241.35,20.98,45,27,6.62,0.0314,0.877,-0.246,1.61,0.18,24.57,100.0,0.42,245.29,237.93,252.65,282.08,229.05,6.62,True,2.27,0.02676,2026-08-20 15:15:00,0,
COMSYN,289.77,39.4,41,30,6.76,0.036,0.692,-0.058,2.54,0.11,6.22,100.0,0.43,297.31,288.39,306.23,341.91,277.22,6.76,True,2.22,0.03015,2026-08-20 15:15:00,0,
ROLEXRINGS,186.24,18.09,39,20,7.4,0.0484,0.929,-0.105,0.61,0.18,19.07,100.0,0.42,187.38,181.76,193.0,215.49,173.51,7.4,True,2.03,0.04327,2026-08-20 15:15:00,0,
INDSWFTLAB,333.51,46.5,44,14,7.7,0.0217,0.605,-0.213,3.85,0.31,10.53,99.1,0.33,346.88,336.47,357.29,398.91,320.17,7.7,True,1.95,0.01267,2026-08-20 15:15:00,0,
RBA,105.25,20.3,43,15,7.84,0.0225,0.715,-0.455,2.53,0.68,57.91,99.6,0.2,107.98,104.74,111.22,124.18,99.51,7.84,True,1.91,0.00607,2026-08-20 15:15:00,0,
RATNAVEER,268.7,24.43,33,19,8.0,0.0401,0.874,-0.408,0.56,0.58,63.48,100.0,0.22,270.21,262.1,278.32,310.74,248.6,8.0,True,1.88,0.01814,2026-08-20 15:15:00,0,
