symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
ENTERO,1848.0,29.62,45,19,3.89,0.0219,0.792,-0.214,0.81,0.13,15.88,100.0,0.22,1863.0,1807.11,1918.89,2142.45,1790.5,3.89,1793.5,3.73,False,0.03,True,3.86,0.0194,2026-09-03 15:15:00,0,
ENGINERSIN,280.8,18.11,21,18,3.9,0.0185,0.55,-0.195,1.44,0.67,36.24,98.4,0.48,284.9,276.35,293.45,327.63,273.8,3.9,274.55,3.63,False,0.07,True,3.85,0.00395,2026-09-03 15:15:00,0,
MANINFRA,124.59,12.19,41,15,4.73,0.0166,0.497,-0.2,0.76,0.82,11.93,99.3,0.39,125.55,121.78,129.32,144.38,119.61,4.73,121.33,3.36,False,0.79,True,3.17,0.00162,2026-09-03 15:15:00,0,
SAIL,197.0,15.76,35,28,5.17,0.0222,0.565,0.177,1.82,0.42,239.32,99.9,0.31,200.65,194.63,206.67,230.75,190.27,5.17,191.84,4.39,False,0.0,True,2.9,0.00827,2026-09-03 15:15:00,0,
BALAMINES,2424.0,12.43,44,13,5.32,0.0154,0.644,-0.004,3.26,0.79,18.14,100.0,0.34,2505.8,2430.63,2580.97,2881.67,2372.5,5.32,2381.4,4.96,False,0.1,True,2.82,0.00228,2026-09-03 15:15:00,0,
LICHSGFIN,554.0,11.61,30,28,5.39,0.024,0.791,-0.341,0.21,0.66,83.02,97.3,0.37,555.15,538.5,571.8,638.42,525.25,5.39,527.35,5.01,False,0.32,True,2.78,0.00718,2026-09-03 15:15:00,0,pct_of_60d_high 97.3% vs floor 97.0
INOXINDIA,2176.2,19.18,30,20,5.5,0.0267,0.606,-0.001,1.08,0.2,17.57,97.2,0.46,2200.0,2134.0,2266.0,2530.0,2079.1,5.5,2099.4,4.57,False,0.65,True,2.73,0.01524,2026-09-03 15:15:00,0,pct_of_60d_high 97.2% vs floor 97.0
SETL,387.65,30.29,45,19,6.01,0.035,0.684,-0.015,1.52,0.46,16.25,100.0,0.23,393.65,381.84,405.46,452.7,370.0,6.01,371.5,5.63,False,0.14,True,2.5,0.01648,2026-09-03 15:15:00,0,
LALITHAA,281.9,16.47,23,19,7.18,0.0566,0.768,-0.177,0.35,0.65,229.58,99.9,0.5,282.9,274.41,291.39,325.33,262.6,7.18,263.4,6.89,False,0.09,True,2.09,0.01771,2026-09-03 15:15:00,0,max_bar_share 0.5 vs cut 0.5
GIPCL,208.04,23.38,42,30,7.34,0.0285,0.689,-0.346,1.65,0.39,10.53,100.0,0.17,211.54,205.19,217.89,243.27,196.01,7.34,197.52,6.63,False,0.47,True,2.04,0.01446,2026-09-03 15:15:00,0,
MOL,67.52,14.03,8,19,7.93,0.0202,0.624,-0.572,1.79,0.37,6.03,100.0,0.38,68.75,66.69,70.81,79.06,63.3,7.93,63.54,7.58,False,-0.0,True,1.89,0.00895,2026-09-03 15:15:00,0,
URBANCO,177.51,19.58,43,28,8.3,0.0443,0.754,-0.278,0.87,0.52,96.37,100.0,0.46,179.06,173.69,184.43,205.92,164.2,8.3,165.91,7.34,False,0.71,True,1.81,0.01887,2026-09-03 15:15:00,0,
IOLCP,196.43,17.41,45,21,8.32,0.0417,0.461,-0.158,3.23,0.66,31.72,100.0,0.42,202.98,196.89,209.07,233.43,186.1,8.32,187.6,7.58,False,0.16,True,1.8,0.00748,2026-09-03 15:15:00,0,
CGCL,272.1,17.7,42,26,8.69,0.0456,0.871,-0.365,0.22,0.34,56.55,100.0,0.44,272.7,264.52,280.88,313.6,249.0,8.69,251.9,7.63,False,0.66,True,1.73,0.03076,2026-09-03 15:15:00,0,
MANALIPETC,89.0,24.24,23,13,9.28,0.0385,0.832,-0.481,2.07,0.77,7.09,100.0,0.5,90.88,88.15,93.61,104.51,82.45,9.28,82.55,9.17,False,0.01,True,1.62,0.00906,2026-09-03 15:15:00,0,max_bar_share 0.5 vs cut 0.5
